"","Row.names","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","sig.x","baseMean.y.x","log2FoldChange.y.x","lfcSE.y.x","stat.y.x","pvalue.y.x","padj.y.x","sig.y.x","baseMean.y.y","log2FoldChange.y.y","lfcSE.y.y","stat.y.y","pvalue.y.y","padj.y.y","sig.y.y"
"24","g2296",3752.68681729597,-4.30086220113117,1.17451386406856,-3.66182327233909,0.000250426597615018,0.00458280673635482,"FDR<0.1",4983.04578674743,-4.60036836938177,1.55212417673886,-2.96391773179354,0.00303749480541257,0.0395208115341592,"FDR<0.1",4941.81078656848,-4.5434593092217,1.56941916737043,-2.89499415050111,0.00379165598177746,0.0539801346222942,"FDR<0.1"
"25","g2300",2099.19493866401,7.58955528299512,1.66759933574814,4.55118631933862,5.33442823285022e-06,0.000190279139710806,"FDR<0.1",754.377446053314,7.00039702737062,2.08453054764398,3.35826070540571,0.000784345994462917,0.0157400958888829,"FDR<0.1",1097.70908556381,7.56331955546933,2.09544519701137,3.60940938291133,0.000306894955536812,0.00991046149099364,"FDR<0.1"
"26","g2319",1238.43098093918,7.9800134988349,1.46035059871608,5.46445045857538,4.64343035185068e-08,4.49866458205769e-06,"FDR<0.1",254.836477258316,6.36400337904385,1.87147494653271,3.40052822552312,0.000672557920461115,0.0139703259267712,"FDR<0.1",720.556367892333,7.90010148886513,1.84688033633997,4.27753836207984,1.88971399837888e-05,0.00133709619922583,"FDR<0.1"
"27","g2397",279.948688488842,6.2109115441537,1.61581150271804,3.84383421810404,0.000121126846867225,0.00252526476949771,"FDR<0.1",224.481940597114,7.48062638445168,1.98893417380689,3.76112315981453,0.000169152112815801,0.00484827090191871,"FDR<0.1",89.002066977387,6.13836220608369,2.13539355223393,2.87458122164979,0.00404563699552459,0.0546573814497403,"FDR<0.1"
"28","g24",66.6716160083581,-10.4566718241214,2.6275626834417,-3.97960889383037,6.90287362869468e-05,0.00153402069794565,"FDR<0.1",91.445382168724,-5.10013128943233,1.85020229445603,-2.75652630240186,0.00584189140663685,0.0601460819605046,"FDR<0.1",90.6087267192506,-5.12403995080377,1.87532903111814,-2.73234182683591,0.00628858587983581,0.0770934046750242,"FDR<0.1"
"29","g2491",99.60116513324,9.24158732901111,2.18248460211208,4.23443414907379,2.29127912065547e-05,0.000673881555664208,"FDR<0.1",68.053463017401,9.95163252521863,2.48613747999444,4.00284883893101,6.25842913203745e-05,0.00284999234320475,"FDR<0.1",33.5532992995615,8.94450826699756,2.74204700059697,3.261982112287,0.00110636124619718,0.0240134801633617,"FDR<0.1"
"30","g2508",60.107391797976,7.87987949564524,2.33633125572033,3.37275781263977,0.000744193795983852,0.0110422268647334,"FDR<0.1",52.025427326044,9.56417975354942,2.55342466984015,3.74562831890715,0.000179942840872485,0.00495470519983772,"FDR<0.1",18.9537721234164,8.12052862283344,3.0567446066522,2.65659375178458,0.00789344997036963,0.0916748049190297,"FDR<0.1"
"31","g2603",505.390772712093,6.51835367411542,1.31464772810865,4.95825119896812,7.11305554582144e-07,3.77909757547352e-05,"FDR<0.1",192.6406179063,5.94168593592744,1.70531509790595,3.48421587495682,0.000493581206359807,0.0110264178930191,"FDR<0.1",252.943118844857,6.35875525091046,1.70485897878932,3.72978371233146,0.000191644207393856,0.00726086902107758,"FDR<0.1"
"32","g2606",169.929396375709,10.6191712786033,2.0801275051818,5.10505786407322,3.30693309509193e-07,2.09481492600631e-05,"FDR<0.1",19.4438465764003,8.14426424588325,2.98955073519111,2.72424352930831,0.00644489645947197,0.0652201487864513,"FDR<0.1",110.649048071837,10.6659786694758,2.42266504820878,4.40258081791446,1.06970722269087e-05,0.000944194908561806,"FDR<0.1"
"33","g2618",517.996769240027,5.33945514265289,1.3955806972607,3.82597377072739,0.000130256159428413,0.00261624261681215,"FDR<0.1",460.14370389493,6.97828234106691,1.73214916785767,4.02868440579957,5.60898548362859e-05,0.00276709950525677,"FDR<0.1",151.287230878632,5.34150711383931,1.82446543953524,2.9277107683662,0.00341467532599019,0.0496816497979232,"FDR<0.1"
